epoch,loss,accuracy,wf1,uar
1,1.348100295847315,0.6370767223023559,0.6454766631056283,0.5930493578987484
2,0.9706324996107497,0.7951645030565286,0.8042146320034123,0.7634056269100308
3,0.8640775263084308,0.8411978844700873,0.8476592667393916,0.8132350981434133
4,0.8065716008439449,0.8664606085582801,0.8714441948235946,0.8419017466436701
5,0.7764798962584366,0.8824369805618518,0.8864938647047054,0.8623743830227338
6,0.7652404348808819,0.8887560958857065,0.89212136354257,0.8706380169984781
7,0.7523510861506509,0.895198846074593,0.897849912060517,0.87742713020258
8,0.7339274680633304,0.9025757263548321,0.9050115925779747,0.8868192481286175
9,0.7190769329569858,0.909540490418298,0.911778714624891,0.8929728749814085
10,0.6526861395045896,0.9369050072120338,0.9381333064438664,0.925040984005955
11,0.6254753347772583,0.9502575726354832,0.9510184358420432,0.9396534412326718
12,0.6112803318096195,0.9567552716532729,0.9572747656733092,0.9475663070801085
13,0.597129558444277,0.9631293358060307,0.9634607396280277,0.955081906364282
14,0.5901004474138,0.9668521189642145,0.9671377208410309,0.9594729912451128
15,0.5599203175662908,0.9794354007830208,0.9795535958807055,0.9748984180677466
16,0.5431762103834964,0.9869633903427433,0.9870045899059371,0.9840763276425161
17,0.5379429577896823,0.9893399271928017,0.9893637662345287,0.9867287172752245
18,0.5277815711015986,0.9931588708015661,0.9931708477002138,0.9919416572449525
19,0.5205351903941476,0.9956315681022048,0.9956353458331667,0.9950155512809068
20,0.5182743153689826,0.9965107493646541,0.9965130190989598,0.995683770899617
21,0.5165504603323205,0.997362456212652,0.9973633256541653,0.9968592507783038
22,0.5137536337516638,0.9976234631499417,0.9976242260955975,0.997270774980434
