epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate
1,1.2885309002443497,0.6125008585754516,0.6183969289044549,0.5950630102718127,0.0005,81.3895625,,
2,0.9090355792562421,0.7849852325022323,0.7916934325717424,0.7691520728866456,0.0005,13.09087109375,,
3,0.7977010896649857,0.8355656295075211,0.8401688881987065,0.8226352530134241,0.0005,13.19628125,,
4,0.7388714986848376,0.8634384229686105,0.8666751949923988,0.8527339980621446,0.0005,13.5545546875,,
5,0.7107382709725036,0.8807060924514046,0.8831709656441741,0.8713579257977565,0.0005,13.1635859375,,
6,0.6940668485200506,0.8897726492204134,0.8915973819337388,0.881633065333169,0.00025,13.4870810546875,,
7,0.6207396375337909,0.9220413489937496,0.9230805457824902,0.9154745796703249,0.00025,13.5231064453125,,
8,0.5798035434727092,0.9406827391991208,0.9412675360849423,0.9360191591694658,0.00025,13.7859716796875,,
9,0.5567074069143922,0.9511642283123841,0.9514802376445228,0.9470329813027681,0.000125,14.023939453125,,
10,0.5174688698326921,0.9697918813105296,0.9698933740248199,0.9671909117776382,0.000125,13.904568359375,,
11,0.4983202285229959,0.9796414588914074,0.9796932151496833,0.978205353681543,0.000125,14.304154296875,,
12,0.48888112135219725,0.9838450443024933,0.9838664940790525,0.9825310350548612,6.25e-05,14.8305361328125,,
13,0.47491689149442057,0.9905488014286695,0.9905586067842225,0.9899214012335936,6.25e-05,14.6184228515625,,
